id	utterance	slot_labels	intent
2	क्या आप मुझे इकतीस अगस्त को अटलांटा से बोस्टन का सबसे सस्ता किराया बता सकते हैं	O O O B-depart_date.day_number B-depart_date.month_name O B-fromloc.city_name O B-toloc.city_name O O B-cost_relative I-cost_relative O O O	atis_airfare
3	फिलाडेल्फिया से बोस्टन तक उड़ान डीएल 106 की किराया क्या है	B-fromloc.city_name O B-toloc.city_name O O B-airline_code B-flight_number O O O O	atis_airfare
4	बोस्टन और सैन फ्रांसिस्को के बीच सबसे सस्ता दोतरफा किराया क्या है	B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-cost_relative I-cost_relative B-round_trip O O O	atis_airfare
4	बोस्टन और सैन फ्रांसिस्को के बीच सबसे सस्ता दौर यात्रा किराया क्या है	B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-cost_relative B-round_trip I-round_trip O O O	atis_airfare
6	डेन्वर से फिलाडेल्फिया के लिए दोतरफा किराए दिखायें	B-fromloc.city_name O B-toloc.city_name O O B-round_trip O O	atis_airfare
10	डेल्टा पर बोस्टन और अटलांटा के बीच कोच किराया क्या है	B-airline_name O B-fromloc.city_name O B-toloc.city_name O O B-class_type O O O	atis_airfare
10	डेल्टा मे बोस्टन और अटलांटा के बीच का कोच किराया क्या है	B-airline_name O B-fromloc.city_name O B-toloc.city_name O O O B-class_type O O O	atis_airfare
11	मैं 3 सितंबर को अटलांटा और बोस्टन के बीच आपकी दरें चाहूंगा	O B-depart_date.day_number B-depart_date.month_name O B-fromloc.city_name O B-toloc.city_name O O O O O	atis_airfare
11	मैं सितंबर तीन को अटलांटा से बोस्टन का किराया पसंद करूँगा	O B-depart_date.month_name B-depart_date.day_number O B-fromloc.city_name O B-toloc.city_name O O O O	atis_airfare
17	क्या आप मुझे पिट्सबर्ग से अटलांटा तक एकतरफा किराया दे सकते हैं ?	O O O B-fromloc.city_name I-round_trip B-toloc.city_name O B-round_trip O O O O O	atis_airfare
18	अटलांटा से बाल्टीमोर का किराया बताएँ	B-fromloc.city_name O B-toloc.city_name O O O	atis_airfare
18	अटलांटा से बाल्टीमोर की किराया सूची दिखाए	B-fromloc.city_name O B-toloc.city_name O O O O	atis_airfare
19	अटलांटा से सैन फ्रांसिस्कोजानेवाली उड़ानें डेल्टा 82 और डेल्टा 139 पर सबसे कम किराया कितना है	B-fromloc.city_name O B-toloc.city_name O O B-airline_name B-flight_number O B-airline_name B-flight_number O O B-cost_relative I-cost_relative O O	atis_airfare
20	डेन्वर और पिट्सबर्ग के बीच का हवाई किराया क्या है	B-fromloc.city_name O B-toloc.city_name O O O O O O O	atis_airfare
21	अटलांटा से डलास तक मुझे सबसे सस्ता एक रास्ता दिखाएं	B-fromloc.city_name O B-toloc.city_name O O B-cost_relative I-cost_relative B-round_trip I-round_trip O	atis_airfare
