id	utterance	slot_labels	intent
1	Quanto custa o voo 71 da American Airlines de Dallas para São Francisco	O O O O B-flight_number O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_airfare
2	Você poderia me dizer qual é a tarifa mais barata de Atlanta para Boston em trinta e um de agosto ?	O O O O O O O O B-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_number I-depart_date.day_number I-depart_date.day_number O B-depart_date.month_name O	atis_airfare
3	Quanto custa o voo DL 106 da Filadélfia para Boston	O O O O B-airline_code B-flight_number O B-fromloc.city_name O B-toloc.city_name	atis_airfare
4	Qual é a tarifa mais barata de ida e volta entre Boston e São Francisco	O O O O B-cost_relative I-cost_relative O B-round_trip I-round_trip I-round_trip O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_airfare
5	Qual é a tarifa de Boston para Oakland na United Airlines	O O O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name	atis_airfare
6	Mostre tarifas de ida e volta de Denver para a Filadélfia	O O O B-round_trip I-round_trip I-round_trip O B-fromloc.city_name O O B-toloc.city_name	atis_airfare
7	Mostre tarifas de ida e volta de San Jose para Salt Lake City	O O O B-round_trip I-round_trip I-round_trip O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name	atis_airfare
8	Mostre tarifas da US Air para o próximo domingo de Miami para Cleveland	O O O B-airline_name I-airline_name O O B-depart_date.date_relative B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name	atis_airfare
9	Liste as tarifas de voos de ida e volta de Kansas City para Minneapolis	O O O O O O B-round_trip I-round_trip I-round_trip O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name	atis_airfare
10	Qual é a tarifa da econômica entre Boston e Atlanta na Delta	O O O O O B-class_type O B-fromloc.city_name O B-toloc.city_name O B-airline_name	atis_airfare
11	Gostaria de suas tarifas entre Atlanta e Boston em três de setembro	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_number O B-depart_date.month_name	atis_airfare
12	Mostre a tarifa aérea do voo US 345 de Boston para Pittsburgh	O O O O O O B-airline_code B-flight_number O B-fromloc.city_name O B-toloc.city_name	atis_airfare
13	Encontre a tarifa mais barata de ida de Boston para São Francisco	O O O B-cost_relative I-cost_relative O B-round_trip O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_airfare
14	Forneça as tarifas de ida e volta de Pittsburgh para a Filadélfia	O O O O B-round_trip I-round_trip I-round_trip O B-fromloc.city_name O O B-toloc.city_name	atis_airfare
15	Qual é o preço do voo 19 da American Airlines de Nova York para Los Angeles	O O O O O O B-flight_number O B-airline_name I-airline_name O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_airfare
16	Mostre as tarifas da econômica de Baltimore para Dallas	O O O O B-class_type O B-fromloc.city_name O B-toloc.city_name	atis_airfare
