id	utterance	slot_labels	intent
2	atlanta ' dan boston ' a 31 agustos ' taki en ucuz tarifeyi soyleyebilir misin	B-fromloc.city_name O O B-toloc.city_name O O B-depart_date.day_number B-depart_date.month_name O O B-cost_relative I-cost_relative O O O	atis_airfare
3	philadelphia ' dan boston ' a dl 106 ucusunun fiyati ne	B-fromloc.city_name O O B-toloc.city_name O O B-airline_code B-flight_number O O O	atis_airfare
5	boston ' dan oakland ' a united airlines fiyati ne	B-fromloc.city_name O O B-toloc.city_name O O B-airline_name I-airline_name O O	atis_airfare
10	boston ve atlanta arasinda en ucuz delta coach fiyati ne	B-fromloc.city_name O B-toloc.city_name O O O B-airline_name B-class_type O O	atis_airfare
17	pittsburgh ' dan atlanta ' ya tek yon ucreti verebilir misin	B-fromloc.city_name O O B-toloc.city_name O O B-round_trip I-round_trip O O O	atis_airfare
18	atlanta ' dan baltimore ' a tarifeleri ver	B-fromloc.city_name O O B-toloc.city_name O O O O	atis_airfare
20	denver ve pittsburgh arasindaki fiyat ne	B-fromloc.city_name O B-toloc.city_name O O O	atis_airfare
21	bana atlanta ' dan dallas ' a tek yon en ucuz biletleri goster	O B-fromloc.city_name O O B-toloc.city_name O O B-round_trip I-round_trip B-cost_relative I-cost_relative O O	atis_airfare
22	dallas ' tan baltimore ' a olan ucuslarin fiyatlari neler	B-fromloc.city_name O O B-toloc.city_name O O O O O O	atis_airfare
23	boston ' dan oakland ' a en ucuz tek yon fiyati soyler misin	B-fromloc.city_name O O B-toloc.city_name O O O B-cost_relative B-round_trip I-round_trip O O O	atis_airfare
29	washington ' dan montreal ' a ucus ne kadar	B-fromloc.city_name O O B-toloc.city_name O O O O O	atis_airfare
30	atlanta ' dan pittsburgh ' a tek yon en ucuz ucuslar neler	B-fromloc.city_name O O B-toloc.city_name O O B-round_trip I-round_trip B-cost_relative O O O	atis_airfare
41	denver ' dan boston ' a temmuz yirmibes 1991 ' de bilet fiyati ne	B-fromloc.city_name O O B-toloc.city_name O O B-depart_date.month_name B-depart_date.day_number B-depart_date.year O O O O O	atis_airfare
43	bana dallas ' tan baltimore ' a en ucuz fiyatlari goster	O B-fromloc.city_name O O B-toloc.city_name O O B-cost_relative I-cost_relative O O	atis_airfare
44	indianapolis ' ten seattle ' a en ucus fiyat	B-fromloc.city_name O O B-toloc.city_name O O B-cost_relative O O	atis_airfare
