id	utterance	slot_labels	intent
1	Combien coûte le vol 71 d’ American Airlines de Dallas à San Francisco	O O O O B-flight_number O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_airfare
2	Pourriez-vous me dire le tarif le moins cher d’ Atlanta à Boston le trente-et-un du mois d' août	O O O O O B-cost_relative I-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_number O O O B-depart_date.month_name	atis_airfare
3	Quel est le prix du vol 106 de DL de Philadelphie à Boston	O O O O O O B-flight_number O B-airline_code O B-fromloc.city_name O B-toloc.city_name	atis_airfare
4	Quel est le tarif aller-retour le moins cher entre Boston et San Francisco	O O O O B-round_trip B-cost_relative I-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_airfare
5	Quel est le tarif de Boston à Oakland sur United Airlines	O O O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name	atis_airfare
6	Me montrer les tarifs aller-retour de Denver à Philadelphie .	O O O O B-round_trip O B-fromloc.city_name O B-toloc.city_name O	atis_airfare
7	Me montrer les tarifs aller-retour de San José à Salt Lake City .	O O O O B-round_trip O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name O	atis_airfare
8	Me montrer les tarifs d’ US Air pour dimanche prochain de Miami à Cleveland .	O O O O O B-airline_name I-airline_name O B-depart_date.day_name B-depart_date.date_relative O B-fromloc.city_name O B-toloc.city_name O	atis_airfare
9	Lister un tarif aller-retour pour des vols de Kansas City à Minneapolis .	O O O B-round_trip O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O	atis_airfare
10	Quel est le tarif en classe économique entre Boston et Atlanta sur Delta	O O O O O B-class_type I-class_type O B-fromloc.city_name O B-toloc.city_name O B-airline_name	atis_airfare
11	J’aimerais avoir vos tarifs entre Atlanta et Boston le trois septembre .	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_number B-depart_date.month_name O	atis_airfare
12	S’il vous plaît me montrer le billet d’avion du vol 345 d’ US de Boston à Pittsburgh .	O O O O O O O O O O B-flight_number O B-airline_code O B-fromloc.city_name O B-toloc.city_name O	atis_airfare
13	Trouver le tarif aller simple le moins cher de Boston à San Francisco .	O O O B-round_trip I-round_trip B-cost_relative I-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O	atis_airfare
14	S’il vous plaît me donner des tarifs aller-retour de Pittsburgh à Philadelphie .	O O O O O O O B-round_trip O B-fromloc.city_name O B-toloc.city_name O	atis_airfare
15	Quel est le prix du vol 19 d’ American Airlines de New York à Los Angeles	O O O O O O B-flight_number O B-airline_name I-airline_name O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_airfare
16	Me montrer les tarifs en classe économique de Baltimore à Dallas .	O O O O O B-class_type I-class_type O B-fromloc.city_name O B-toloc.city_name O	atis_airfare
17	Pourriez-vous s’il vous plaît me donner un tarif aller simple de Pittsburgh à Atlanta	O O O O O O O O B-round_trip I-round_trip O B-fromloc.city_name O B-toloc.city_name	atis_airfare
18	Me donner des tarifs d’ Atlanta à Baltimore .	O O O O O B-fromloc.city_name O B-toloc.city_name O	atis_airfare
19	Quel est le tarif au plus bas prix d’ Atlanta à San Francisco sur les vols 82 de Delta et 139 de Delta	O O O O B-cost_relative I-cost_relative I-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-flight_number O B-airline_name O B-flight_number O B-airline_name	atis_airfare
20	Quel est le tarif aérien entre Denver et Pittsburgh	O O O O O O B-fromloc.city_name O B-toloc.city_name	atis_airfare
21	Me montrer les billets aller simple les moins chers d’ Atlanta à Dallas .	O O O O B-round_trip I-round_trip B-cost_relative I-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name O	atis_airfare
22	Quels sont les prix des vols de Dallas à Baltimore	O O O O O O O B-fromloc.city_name O B-toloc.city_name	atis_airfare
23	Voudriez-vous me dire le tarif aller simple le moins cher de Boston à Oakland	O O O O O B-round_trip I-round_trip B-cost_relative I-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name	atis_airfare
24	Me montrer des tarifs de Philadelphie à San Francisco jeudi matin .	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-depart_date.day_name B-depart_time.period_of_day O	atis_airfare
25	Pourriez-vous me trouver le tarif le moins cher de Boston à San Francisco	O O O O O B-cost_relative I-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_airfare
26	Quels sont les tarifs en première classe et en classe économique pour les vols de Chicago à Kansas City arrivant vers 7 heures du soir jeudi prochain	O O O O O B-class_type I-class_type O O B-class_type I-class_type O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time I-arrive_time.time I-arrive_time.time B-arrive_date.day_name B-arrive_date.date_relative	atis_airfare
27	Me trouver le tarif aller simple le moins cher que je peux obtenir de Boston à Denver .	O O O O B-round_trip I-round_trip B-cost_relative I-cost_relative I-cost_relative O O O O O B-fromloc.city_name O B-toloc.city_name O	atis_airfare
28	Combien coûte de voler de Boston à Oakland sur United Airlines	O O O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name	atis_airfare
29	Combien coûte un vol de Washington à Montréal	O O O O O B-fromloc.city_name O B-toloc.city_name	atis_airfare
30	Quels sont les tarifs aller simple les plus bas d’ Atlanta à Pittsburgh	O O O O B-round_trip I-round_trip B-cost_relative I-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name	atis_airfare
31	Me montrer le billet d’avion de Pittsburgh à San Francisco .	O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O	atis_airfare
32	Quels sont les billets en première classe les plus chers entre Boston et San Francisco	O O O O O B-class_type I-class_type B-cost_relative I-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_airfare
33	Quel serait le coût d’un aller-retour de Pittsburgh à San Francisco	O O O O O B-round_trip O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_airfare
34	Quel est le prix d’un billet en première classe de Milwaukee à San Francisco en aller-retour	O O O O O O O B-class_type I-class_type O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-round_trip	atis_airfare
35	Quels sont les coûts des vols de Dallas à Boston demain	O O O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_date.today_relative	atis_airfare
36	Quel est le tarif aller-retour le moins cher entre Boston et Washington	O O O O B-round_trip B-cost_relative I-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name	atis_airfare
37	Tarifs aller-retour de Denver à Philadelphie inférieurs à 1 000 dollars .	O B-round_trip O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-fare_amount I-fare_amount I-fare_amount O	atis_airfare
38	Quels sont les tarifs pour les vols de Los Angeles à Newark partant lundi matin	O O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day	atis_airfare
39	Combien coûte un billet en première classe de Baltimore à San Francisco	O O O O O B-class_type I-class_type O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_airfare
40	Pourriez-vous me donner le tarif aller-retour de Denver à Atlanta	O O O O O B-round_trip O B-fromloc.city_name O B-toloc.city_name	atis_airfare
41	Quel est le coût d’un billet allant de Denver à Boston le vingt-cinq juillet 1991	O O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_number B-depart_date.month_name B-depart_date.year	atis_airfare
42	Quel est le prix de la classe affaires de Boston à San Francisco sur TWA	O O O O O O B-class_type I-class_type O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-airline_code	atis_airfare
43	Me montrer le tarif le moins cher de Dallas à Baltimore .	O O O O B-cost_relative I-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name O	atis_airfare
44	Tarif le moins cher d’ Indianapolis à Seattle .	O B-cost_relative I-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name O	atis_airfare
45	Tous les tarifs et les vols de Philadelphie .	O O O O O O O B-fromloc.city_name O	atis_airfare
46	Quel est le tarif en première classe pour un aller-retour de Dallas à Denver	O O O O O B-class_type I-class_type O O B-round_trip O B-fromloc.city_name O B-toloc.city_name	atis_airfare
47	Tarifs aller-retour de Baltimore à Philadelphie inférieurs à 1 000 dollars .	O B-round_trip O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-fare_amount I-fare_amount I-fare_amount O	atis_airfare
48	Quel est le billet le moins cher de Baltimore à San Francisco le vendredi trente août	O O O O B-cost_relative I-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name B-depart_date.day_number B-depart_date.month_name	atis_airfare
49	J’aimerais un billet de Denver à Atlanta avec une escale à Pittsburgh . Est-ce possible	O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-stoploc.city_name O O O	atis_airfare
50	Quel est le tarif d’un aller simple le sept novembre de Denver à Oakland	O O O O O B-round_trip I-round_trip O B-depart_date.day_number B-depart_date.month_name O B-fromloc.city_name O B-toloc.city_name	atis_airfare
51	Quel est le tarif aller simple le moins cher de Boston à Pittsburgh	O O O O B-round_trip I-round_trip B-cost_relative I-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name	atis_airfare
52	Quel est le tarif le moins cher de San Francisco à Baltimore	O O O O B-cost_relative I-cost_relative I-cost_relative O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name	atis_airfare
53	Quel est le billet aller simple le moins cher de Denver à Pittsburgh	O O O O B-round_trip I-round_trip B-cost_relative I-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name	atis_airfare
54	S’il vous plaît lister des tarifs pour tous les vols d’ Atlanta à Philadelphie le premier août .	O O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_number B-depart_date.month_name O	atis_airfare
55	Quel est le coût du billet aller-retour en première classe entre Oakland et Atlanta	O O O O O O B-round_trip O B-class_type I-class_type O B-fromloc.city_name O B-toloc.city_name	atis_airfare
56	Quel est le tarif du vol 928 d’ American Airlines de Dallas Fort Worth à Boston	O O O O O O B-flight_number O B-airline_name I-airline_name O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name	atis_airfare
57	Combien coûte un tarif aller-retour en première classe entre Boston et Washington	O O O O B-round_trip O B-class_type I-class_type O B-fromloc.city_name O B-toloc.city_name	atis_airfare
58	Billets d’avion aller-retour de Pittsburgh à Philadelphie inférieurs à 1 000 dollars .	O O B-round_trip O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-fare_amount I-fare_amount I-fare_amount O	atis_airfare
59	Et combien cela coûte-t-il de voyager de l’aéroport de Boston au centre-ville	O O O O O O O B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name O O	atis_airfare
60	Me montrer les tarifs aller simple de San Diego à Miami sans escale .	O O O O B-round_trip I-round_trip O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-flight_stop I-flight_stop O	atis_airfare
61	Quel est le tarif aller simple le moins cher d’ Atlanta à Boston	O O O O B-round_trip I-round_trip B-cost_relative I-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name	atis_airfare
62	J’aimerais connaître le tarif en première classe sur un vol de Baltimore à Denver .	O O O O O B-class_type I-class_type O O O O B-fromloc.city_name O B-toloc.city_name O	atis_airfare
63	Quel est le tarif le moins cher entre Boston et San Francisco	O O O O B-cost_relative I-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_airfare
64	Quel est le tarif le plus bas de Denver à Atlanta	O O O O B-cost_relative I-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name	atis_airfare
65	Quel est le tarif aller-retour du 1291 de Continental de Dallas à San Francisco et retour	O O O O B-round_trip O B-flight_number O B-airline_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-round_trip	atis_airfare
66	J’aimerais le tarif du 1039 d’ US Air de Denver à Pittsburgh le vingt avril .	O O O O B-flight_number O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_number B-depart_date.month_name O	atis_airfare
67	Quels sont les tarifs aller simple les plus bas de Denver à Atlanta	O O O O B-round_trip I-round_trip B-cost_relative I-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name	atis_airfare
68	J’aimerais voir les tarifs en classe économique de Denver à Philadelphie .	O O O O O B-economy I-economy O B-fromloc.city_name O B-toloc.city_name O	atis_airfare
69	Billets d’avion aller-retour de Baltimore à Philadelphie inférieurs à 1 000 dollars .	O O B-round_trip O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-fare_amount I-fare_amount I-fare_amount O	atis_airfare
70	Me montrer tous les tarifs entre Philadelphie et San Francisco qui sont inférieurs à 200 dollars en aller simple .	O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-cost_relative O B-fare_amount I-fare_amount O B-round_trip I-round_trip O	atis_airfare
71	Me montrer des tarifs partant les mardis de Denver pour Dallas .	O O O O O O B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name O	atis_airfare
72	Quel est le tarif aller-retour le moins cher entre Dallas et Baltimore	O O O O B-round_trip B-cost_relative I-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name	atis_airfare
73	Billet d’avion aller-retour en première classe d’ Indianapolis à Memphis .	O O B-round_trip O B-class_type I-class_type O B-fromloc.city_name O B-toloc.city_name O	atis_airfare
74	Combien coûte le vol 297 d’ UA de Denver à San Francisco	O O O O B-flight_number O B-airline_code O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_airfare
