id	utterance	slot_labels	intent
1	ボストン から 午前 8 時 38 分 に出発して デンバー に 朝 の 11 時 10 分 に到着する飛行機に乗りたい	B-fromloc.city_name O B-depart_time.time I-depart_time.time I-depart_time.time I-depart_time.time I-depart_time.time O B-toloc.city_name O B-arrive_time.period_of_day O B-arrive_time.time I-arrive_time.time I-arrive_time.time I-arrive_time.time O	atis_flight
2	ピッツバーグ から ボルチモア 行きの 木曜日 の 朝 に利用可能な飛行機は何	B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O B-depart_time.period_of_day O	atis_flight
3	午前 7 時 55 分 に ワシントン を出発する飛行機の サンフランシスコ への 到着時刻 は	B-depart_time.time I-depart_time.time I-depart_time.time I-depart_time.time I-depart_time.time O B-fromloc.city_name O B-fromloc.city_name O B-flight_time O	atis_flight_time
4	タコマ から オーランド までの 最安 の航空運賃	B-fromloc.city_name O B-toloc.city_name O B-cost_relative O	atis_airfare
5	ピッツバーグ から フィラデルフィア への 1000 ドル 以下 の 往復 運賃	B-fromloc.city_name O B-toloc.city_name O B-fare_amount I-fare_amount B-cost_relative O B-round_trip O	atis_airfare
6	明日 コロンバス から ミネアポリス へ飛行機で行きたい	B-depart_date.today_relative B-fromloc.city_name O B-toloc.city_name O	atis_flight
7	クリーブランド から ダラス へのフライトに使用されている航空機の種類は何	B-fromloc.city_name O B-toloc.city_name O	atis_aircraft
8	ピッツバーグ 発 ロサンゼルス 行きの 木曜日 のフライトを教えて	B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O	atis_flight
9	ボストン 発 ワシントン 行きのすべてのフライト	B-fromloc.city_name O B-toloc.city_name O	atis_flight
10	デンバー で利用可能な空港アクセスの種類は何	B-city_name O	atis_ground_service
11	ダラス 発 サンフランシスコ 行きのフライトを教えて	B-fromloc.city_name O B-toloc.city_name O	atis_flight
12	サンディエゴ 発 ヒューストン 経由 ニューアーク 行きのフライトを教えて	B-fromloc.city_name O B-stoploc.city_name O B-toloc.city_name O	atis_flight
13	オーランド の空港は何	B-city_name O	atis_airport
14	ボストン 発 BWI 行きの 一番安い 飛行機は何	B-fromloc.city_name O B-toloc.airport_code O B-cost_relative O	atis_flight
15	午後 6 時 以降 ボルチモア 行きのすべての飛行機	B-depart_time.time I-depart_time.time I-depart_time.time B-depart_time.time_relative B-toloc.city_name O	atis_flight
16	ボストン 発 デンバー 行きの ファーストクラス の運賃を教えて	B-fromloc.city_name O B-toloc.city_name O B-class_type O	atis_airfare
17	デンバー の空港アクセスを教えて	B-city_name O	atis_ground_service
18	午後 6 時 以降 午後 7 時 より前 に デンバー を出発して ピッツバーグ に向かうすべての飛行機	B-depart_time.time I-depart_time.time I-depart_time.time B-depart_time.time_relative B-depart_time.time I-depart_time.time I-depart_time.time B-depart_time.time_relative O B-fromloc.city_name O B-toloc.city_name O	atis_flight
19	火曜日 の ボルチモア 発 ダラス 行き、 ダラス 発 ボストン 行き、 ボストン 発 ボルチモア 行きの飛行機についての情報が必要	B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name O B-fromloc.city_name O B-toloc.city_name O B-fromloc.city_name O B-toloc.city_name O	atis_flight
20	次 の 木曜日 の ボストン 発 ピッツバーグ 行きのフライト情報を教えてくれる	B-depart_date.date_relative O B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name O	atis_flight
21	デンバー から ピッツバーグ までの ユナイテッド航空 で飛びたい	B-fromloc.city_name O B-toloc.city_name O B-airline_name O	atis_flight
22	サンディエゴ 発 ニューアーク 行きのフライトを教えて	B-fromloc.city_name O B-toloc.city_name O	atis_flight
23	ユナイテッド で デンバー から ボルチモア 行きの ファーストクラス のすべてのフライトをリストアップしてくれる	B-airline_name O B-fromloc.city_name O B-toloc.city_name O B-class_type O	atis_flight
24	アメリカン航空 で使用されている飛行機の種類は何	B-airline_name O	atis_aircraft
25	デンバー から ピッツバーグ と アトランタ までのチケットに関する情報を知りたい	B-fromloc.city_name O B-toloc.city_name O B-toloc.city_name O	atis_airfare
26	アトランタ 発 デンバー 行きの飛行機を予約したい	B-fromloc.city_name O B-toloc.city_name O	atis_flight
27	デンバー 、 ピッツバーグ 、 アトランタ に運航している航空会社はどれ	B-fromloc.city_name O B-fromloc.city_name O B-fromloc.city_name O	atis_airline
28	来 週の 水曜日 に ボストン を 午後 2 時 以降 に出発する ボストン 発 ピッツバーグ 行きのすべての飛行機を教えて	B-depart_date.date_relative O B-depart_date.day_name O B-fromloc.city_name O B-depart_time.time I-depart_time.time I-depart_time.time B-depart_time.time_relative O B-fromloc.city_name O B-toloc.city_name O	atis_flight
29	アトランタ の空港アクセス	B-city_name O	atis_ground_service
30	正午 までに 到着する ダラス 発 ボストン 行きの便も必要	B-arrive_time.time B-arrive_time.time_relative O B-fromloc.city_name O B-toloc.city_name O	atis_flight
31	ボルチモア 発 ダラス 行きの 一番安い 往復 運賃を教えて	B-fromloc.city_name O B-toloc.city_name O B-cost_relative B-round_trip O	atis_airfare
