id	utterance	slot_labels	intent
1	Cuánto cuesta el vuelo 71 de American Airlines desde Dallas hasta San Francisco	O O O O B-flight_number O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_airfare
2	¿Podrías decirme la tarifa más barata desde Atlanta hasta Boston para el treinta y uno de agosto ?	O O O O B-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_number I-depart_date.day_number I-depart_date.day_number O B-depart_date.month_name O	atis_airfare
3	Cuánto cuesta el vuelo 106 de DL desde Filadelfia hasta Boston	O O O O B-flight_number O B-airline_code O B-fromloc.city_name O B-toloc.city_name	atis_airfare
4	Cuál es la tarifa de ida y vuelta más barata entre Boston y San Francisco	O O O O O B-round_trip I-round_trip I-round_trip B-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_airfare
5	Cuál es la tarifa de Boston hasta Oakland con United Airlines	O O O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name	atis_airfare
6	Muéstrame las tarifas de ida y vuelta desde Denver hasta Filadelfia	O O O O B-round_trip I-round_trip I-round_trip O B-fromloc.city_name O B-toloc.city_name	atis_airfare
7	Muéstrame las tarifas de ida y vuelta desde San José hasta Salt Lake City	O O O O B-round_trip I-round_trip I-round_trip O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name	atis_airfare
8	Muéstrame las tarifas de Us Air para el próximo domingo desde Miami hasta Cleveland	O O O O B-airline_name I-airline_name O O B-depart_date.date_relative B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name	atis_airfare
9	Muéstrame la tarifa de vuelos de ida y vuelta desde Kansas City hasta Mineápolis	O O O O O O B-round_trip I-round_trip I-round_trip O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name	atis_airfare
10	Cuál es la tarifa de clase turista entre Boston y Atlanta de Delta	O O O O O B-class_type I-class_type O B-fromloc.city_name O B-toloc.city_name O B-airline_name	atis_airfare
11	Me gustaría saber tus tarifas entre Atlanta y Boston del tres de septiembre	O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_number O B-depart_date.month_name	atis_airfare
12	Muéstrame la tarifa aérea del vuelo US 345 desde Boston hasta Pittsburgh	O O O O O O B-airline_code B-flight_number O B-fromloc.city_name O B-toloc.city_name	atis_airfare
13	Encuentra la tarifa de ida más barata desde Boston hasta San Francisco	O O O B-round_trip I-round_trip B-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_airfare
14	Dime las tarifas de ida y vuelta desde Pittsburgh hasta Filadelfia	O O O O B-round_trip I-round_trip I-round_trip O B-fromloc.city_name O B-toloc.city_name	atis_airfare
