id	utterance	slot_labels	intent
1	美国航空 从 达拉斯 到 旧金山 的 71 次 航班的票价是多少	B-airline_name O B-fromloc.city_name O B-toloc.city_name O B-flight_number I-flight_number O	atis_airfare
2	你能告诉我 八月 三十一日 从 亚特兰大 到 波士顿 最便宜 的票价是多少吗	O B-depart_date.month_name B-depart_date.day_number O B-fromloc.city_name O B-toloc.city_name B-cost_relative O	atis_airfare
3	从 费城 到 波士顿 的 dl 106 次 航班票价是多少	O B-fromloc.city_name O B-toloc.city_name O B-airline_code B-flight_number I-flight_number O	atis_airfare
4	从 波士顿 到 旧金山 最便宜 的 往返 票价是多少	O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-round_trip O	atis_airfare
5	联合航空 从 波士顿 到 奥克兰 的票价是多少	B-airline_name O B-fromloc.city_name O B-toloc.city_name O	atis_airfare
6	显示从 丹佛 到 费城 的 往返 票价	O B-fromloc.city_name O B-toloc.city_name O B-round_trip O	atis_airfare
7	显示从 圣何塞 到 盐湖城 的 往返 票价	O B-fromloc.city_name O B-toloc.city_name O B-round_trip O	atis_airfare
8	显示 全美航空 下 周日 从 迈阿密 到 克利夫兰 的票价	O B-airline_name B-depart_date.date_relative B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name O	atis_airfare
9	列出从 堪萨斯城 到 明尼阿波利斯 航班的 往返 票价	O B-fromloc.city_name O B-toloc.city_name O B-round_trip O	atis_airfare
10	达美航空 从 波士顿 到 亚特兰大 的 经济舱 票价是多少	B-airline_name O B-fromloc.city_name O B-toloc.city_name O B-class_type O	atis_airfare
11	我想知道 九月 三日 亚特兰大 和 波士顿 之间航班的票价	O B-depart_date.month_name B-depart_date.day_number B-fromloc.city_name O B-toloc.city_name O	atis_airfare
12	请显示从 波士顿 到 匹兹堡 的 全美航空 345 次 航班的票价	O B-fromloc.city_name O B-toloc.city_name O B-airline_code B-flight_number I-flight_number O	atis_airfare
13	找出从 波士顿 到 旧金山 最便宜 的 单程 票价	O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-round_trip O	atis_airfare
14	请告诉我从 匹兹堡 到 费城 的 往返 票价	O B-fromloc.city_name O B-toloc.city_name O B-round_trip O	atis_airfare
15	从 纽约 飞往 洛杉矶 的 美国航空 19 次 航班价格是多少	O B-fromloc.city_name O B-toloc.city_name O B-airline_name B-flight_number I-flight_number O	atis_airfare
16	显示从 巴尔的摩 到 达拉斯 的 经济舱 票价	O B-fromloc.city_name O B-toloc.city_name O B-class_type O	atis_airfare
17	你能告诉我从 匹兹堡 到 亚特兰大 的 单程 票价是多少吗	O B-fromloc.city_name O B-toloc.city_name O B-round_trip O	atis_airfare
18	给我从 亚特兰大 到 巴尔的摩 的票价	O B-fromloc.city_name O B-toloc.city_name O	atis_airfare
19	从 亚特兰大 到 旧金山 的 达美航空 82 次 航班和 达美航空 139 次 航班的 最低票价 是多少	O B-fromloc.city_name O B-toloc.city_name O B-airline_name B-flight_number I-flight_number O B-airline_name B-flight_number I-flight_number O B-cost_relative O	atis_airfare
20	丹佛 和 匹兹堡 之间的航班票价是多少	B-fromloc.city_name O B-toloc.city_name O	atis_airfare
21	显示从 亚特兰大 到 达拉斯 最便宜 的 单程 票价	O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-round_trip O	atis_airfare
22	从 达拉斯 到 巴尔的摩 的航班票价是多少	O B-fromloc.city_name O B-toloc.city_name O	atis_airfare
23	你能告诉我从 波士顿 到 奥克兰 最便宜 的 单程 票价吗	O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-round_trip O	atis_airfare
24	显示 周四 上午 从 费城 到 旧金山 的票价	O B-depart_date.day_name B-depart_time.period_of_day O B-fromloc.city_name O B-toloc.city_name O	atis_airfare
25	你能帮我找出从 波士顿 到 旧金山 最便宜 的票价吗	O B-fromloc.city_name O B-toloc.city_name B-cost_relative O	atis_airfare
26	下 周四 大约 晚上 7 点 从 芝加哥 飞往 堪萨斯城 的航班的 头等舱 和 经济舱 的票价是多少	B-arrive_date.date_relative B-arrive_date.day_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time I-arrive_time.time O B-fromloc.city_name O B-toloc.city_name O B-class_type O B-class_type O	atis_airfare
27	帮我找出从 波士顿 到 丹佛 最便宜 的 单程 票价	O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-round_trip O	atis_airfare
28	联合航空 从 波士顿 飞往 奥克兰 的票价是多少	B-airline_name O B-fromloc.city_name O B-toloc.city_name O	atis_airfare
29	从 华盛顿 到 蒙特利尔 的航班票价是多少	O B-fromloc.city_name O B-toloc.city_name O	atis_airfare
30	从 亚特兰大 到 匹兹堡 的 最低 单程 票价是多少	O B-fromloc.city_name O B-toloc.city_name O B-cost_relative B-round_trip O	atis_airfare
31	显示从 匹兹堡 到 旧金山 的机票价格	O B-fromloc.city_name O B-toloc.city_name O	atis_airfare
