id	utterance	slot_labels	intent
1	Was kostet der American Airlines -Flug 71 von Dallas nach San Francisco	O O O B-airline_name I-airline_name O B-flight_number O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_airfare
2	Kannst du mir den günstigsten Tarif von Atlanta nach Boston am einunddreißigsten August sagen	O O O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_number B-depart_date.month_name O	atis_airfare
3	Was kostet der Flug DL 106 von Philadelphia nach Boston	O O O O B-airline_code B-flight_number O B-fromloc.city_name O B-toloc.city_name	atis_airfare
4	Was ist der günstigste Tarif für einen Hin- und Rück flug zwischen Boston und San Francisco	O O O B-cost_relative O O O B-round_trip I-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_airfare
5	Was ist der Tarif von Boston nach Oakland mit United Airlines	O O O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name	atis_airfare
6	Zeige mir Tarife für Hin- und Rück flüge von Denver nach Philadelphia	O O O O B-round_trip I-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name	atis_airfare
7	Zeige mir Tarife für Hin- und Rück flüge von San Jose nach Salt Lake City	O O O O B-round_trip I-round_trip I-round_trip O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name	atis_airfare
8	Zeige mir Tarife von US Air für nächsten Sonntag von Miami nach Cleveland	O O O O B-airline_name I-airline_name O B-depart_date.date_relative B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name	atis_airfare
9	Zeige mir einen Tarif für Hin- und Rück flüge von Kansas City nach Minneapolis	O O O O O B-round_trip I-round_trip I-round_trip O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name	atis_airfare
10	Was ist der Coach -Tarif zwischen Boston und Atlanta mit Delta	O O O B-class_type O O B-fromloc.city_name O B-toloc.city_name O B-airline_name	atis_airfare
11	Ich möchte gerne die Tarife zwischen Atlanta und Boston am dritten September wissen	O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_number B-depart_date.month_name O	atis_airfare
12	Zeige mir bitte den Flugpreis für Flug US 345 von Boston nach Pittsburgh	O O O O O O O B-airline_code B-flight_number O B-fromloc.city_name O B-toloc.city_name	atis_airfare
13	Suche den günstigsten Tarif für einen Einzel flug von Boston nach San Francisco	O O B-cost_relative O O O B-round_trip O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_airfare
14	Nenne mir bitte Preise für Hin- und Rück flüge von Pittsburgh nach Philadelphia	O O O O O B-round_trip I-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name	atis_airfare
15	Was ist der Preis für den American Airlines -Flug 19 von New York nach Los Angeles	O O O O O O B-airline_name I-airline_name O B-flight_number O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_airfare
16	Zeige mir die Coach -Tarife von Baltimore nach Dallas	O O O B-class_type O O B-fromloc.city_name O B-toloc.city_name	atis_airfare
17	Kannst du mir bitte einen Einzel flug-Tarif von Pittsburgh nach Atlanta anzeigen	O O O O O B-round_trip O O B-fromloc.city_name O B-toloc.city_name O	atis_airfare
18	Nenne mir Tarife von Atlanta nach Baltimore	O O O O B-fromloc.city_name O B-toloc.city_name	atis_airfare
19	Was ist der Tarif mit dem günstigsten Preis von Atlanta nach San Francisco auf Flug Delta 82 und Delta 139	O O O O O O B-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-airline_name B-flight_number O B-airline_name B-flight_number	atis_airfare
20	Was ist der Flugpreis zwischen Denver und Pittsburgh	O O O O O B-fromloc.city_name O B-toloc.city_name	atis_airfare
21	Zeige mir die günstigsten Einzel flug-Tickets von Atlanta nach Dallas	O O O B-cost_relative B-round_trip O O B-fromloc.city_name O B-toloc.city_name	atis_airfare
22	Was sind die Preise für Flüge von Dallas nach Baltimore	O O O O O O O B-fromloc.city_name O B-toloc.city_name	atis_airfare
23	Könntest du mir den günstigsten Preis für einen Einzel flug von Boston nach Oakland nennen	O O O O B-cost_relative O O O B-round_trip O O B-fromloc.city_name O B-toloc.city_name O	atis_airfare
24	Zeige mir Tarife von Philadelphia nach San Francisco am Donnerstag morgen	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day	atis_airfare
25	Kannst du mir den günstigsten Tarif von Boston nach San Francisco suchen	O O O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O	atis_airfare
26	Was sind die Erste-Klasse - und Coach -Tarife für Flüge von Chicago nach Kansas City , die gegen 7 Uhr abends am nächsten Donnerstag ankommen	O O O B-class_type O O B-class_type O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time I-arrive_time.time O B-arrive_date.date_relative B-arrive_date.day_name O	atis_airfare
27	Suche mir den günstigsten Preis für einen Einzel flug, den ich von Boston nach Denver bekommen kann	O O O B-cost_relative O O O B-round_trip O O O O B-fromloc.city_name O B-toloc.city_name O O	atis_airfare
28	Was kostet es, von Boston nach Oakland mit United Airlines zu fliegen	O O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name O O	atis_airfare
29	Wie viel kostet ein Flug von Washington nach Montreal	O O O O O O B-fromloc.city_name O B-toloc.city_name	atis_airfare
30	Wie hoch sind die niedrigsten Preise für einen Einzel flug von Atlanta nach Pittsburgh	O O O O B-cost_relative O O O B-round_trip O O B-fromloc.city_name O B-toloc.city_name	atis_airfare
31	Zeige mir den Flugpreis von Pittsburgh nach San Francisco	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_airfare
32	Was sind die teuersten Erste-Klasse -Tickets zwischen Boston und San Francisco	O O O B-cost_relative B-class_type O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_airfare
33	Was wären die Kosten für einen Hin- und Rück flug von Pittsburgh nach San Francisco	O O O O O O B-round_trip I-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_airfare
34	Was ist der Preis für ein Hin- und Rück flug-Ticket erster Klasse von Milwaukee nach San Francisco	O O O O O O B-round_trip I-round_trip I-round_trip O B-class_type I-class_type O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_airfare
35	Was kosten Flüge von Dallas nach Boston morgen	O O O O B-fromloc.city_name O B-toloc.city_name B-depart_date.today_relative	atis_airfare
36	Was ist der günstigste Tarif für einen Hin- und Rück flug zwischen Boston und Washington	O O O B-cost_relative O O O B-round_trip I-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name	atis_airfare
